comment,label,reply
Fantastic effort!,appreciation,"Thank you, that means the world to me!"
Fantastic effort!,appreciation,I appreciate your kind words!
This is the worst thing I've seen.,troll,Apologies if this wasn't up to the mark.
I really appreciate your hard work!,appreciation,"Thank you, that means the world to me!"
Pathetic!,troll,I'm always open to constructive criticism.
You should just quit.,troll,"I respect your opinion, and I'll keep improving."
I've seen better work from a 5-year-old.,troll,I apologize if this didn't meet your expectations.
Brilliant execution!,appreciation,Thanks a lot!
Terrible effort!,troll,"I respect your opinion, and I'll keep improving."
This is a complete waste of time.,troll,I apologize if this didn't meet your expectations.
Fantastic effort!,appreciation,I'm happy you liked it!
I really appreciate your hard work!,appreciation,Thanks a lot!
Pathetic!,troll,I apologize if this didn't meet your expectations.
This is amazing!,appreciation,I appreciate the encouragement!
You should just quit.,troll,"Thanks for your feedback, I'll work on it."
You're really talented!,appreciation,Really appreciate it!
I love your work!,appreciation,Really appreciate it!
Terrible effort!,troll,"Thanks for your feedback, I'll work on it."
How do you even call this good?,troll,"Thanks for your feedback, I'll work on it."
Stop posting garbage.,troll,I apologize if this didn't meet your expectations.
Pathetic!,troll,"I understand your frustration, I'll do better."
Keep up the great work!,appreciation,Grateful for your support!
You're an inspiration!,appreciation,I appreciate the encouragement!
Great job on this project!,appreciation,I appreciate your kind words!
You should just quit.,troll,"I respect your opinion, and I'll keep improving."
Pathetic!,troll,"Thanks for your feedback, I'll work on it."
This is amazing!,appreciation,Thanks a ton!
This is a complete waste of time.,troll,I'm always open to constructive criticism.
Keep up the great work!,appreciation,"That means a lot, thanks!"
This is amazing!,appreciation,Grateful for your support!
This is amazing!,appreciation,Thanks a ton!
Great job on this project!,appreciation,I'm happy you liked it!
Pathetic!,troll,I'm sorry you feel that way.
This is laughably bad.,troll,"Thanks for your feedback, I'll work on it."
Did you even try?,troll,"I respect your opinion, and I'll keep improving."
Did you even try?,troll,"Sorry to hear that, I'll try to improve."
You're really talented!,appreciation,I'm happy you liked it!
Keep up the great work!,appreciation,"Thank you, that means the world to me!"
Pathetic!,troll,"I respect your opinion, and I'll keep improving."
Terrible effort!,troll,Apologies if this wasn't up to the mark.
I love your work!,appreciation,"Thank you, that means the world to me!"
I really appreciate your hard work!,appreciation,I appreciate your kind words!
This is a complete waste of time.,troll,"I understand your frustration, I'll do better."
You have no idea what you're doing.,troll,"I respect your opinion, and I'll keep improving."
Stop posting garbage.,troll,I'm always open to constructive criticism.
You have no idea what you're doing.,troll,I'm always open to constructive criticism.
I really appreciate your hard work!,appreciation,I appreciate your kind words!
You're an inspiration!,appreciation,Grateful for your support!
This is laughably bad.,troll,Apologies if this wasn't up to the mark.
How do you even call this good?,troll,I'm always open to constructive criticism.
Terrible effort!,troll,I'm sorry you feel that way.
I love your work!,appreciation,Grateful for your support!
This is a complete waste of time.,troll,I apologize if this didn't meet your expectations.
This is laughably bad.,troll,"Sorry to hear that, I'll try to improve."
This is amazing!,appreciation,"Thank you, that means the world to me!"
Very well done!,appreciation,Grateful for your support!
This is amazing!,appreciation,I appreciate your kind words!
Keep up the great work!,appreciation,"Thank you, that means the world to me!"
Stop posting garbage.,troll,"I respect your opinion, and I'll keep improving."
Keep up the great work!,appreciation,"Thank you, that means the world to me!"
You're really talented!,appreciation,I appreciate your kind words!
Fantastic effort!,appreciation,"Thank you, that means the world to me!"
You're really talented!,appreciation,I'm happy you liked it!
You should just quit.,troll,Apologies if this wasn't up to the mark.
You're an inspiration!,appreciation,Thanks a lot!
Pathetic!,troll,"Thanks for your feedback, I'll work on it."
This is an embarrassment.,troll,"I understand your frustration, I'll do better."
This is laughably bad.,troll,I'm always open to constructive criticism.
Fantastic effort!,appreciation,Grateful for your support!
This is outstanding!,appreciation,"Thank you, that means the world to me!"
Stop posting garbage.,troll,Apologies if this wasn't up to the mark.
This is a complete waste of time.,troll,I apologize if this didn't meet your expectations.
Keep up the great work!,appreciation,Really appreciate it!
I love your work!,appreciation,Thanks a lot!
This is a complete waste of time.,troll,I'm sorry you feel that way.
Pathetic!,troll,I'm sorry you feel that way.
This is a complete waste of time.,troll,"Thanks for your feedback, I'll work on it."
This is an embarrassment.,troll,"Thanks for your feedback, I'll work on it."
How do you even call this good?,troll,Apologies if this wasn't up to the mark.
Terrible effort!,troll,"I respect your opinion, and I'll keep improving."
Keep up the great work!,appreciation,Grateful for your support!
Brilliant execution!,appreciation,"That means a lot, thanks!"
Great job on this project!,appreciation,"That means a lot, thanks!"
Brilliant execution!,appreciation,"That means a lot, thanks!"
I love your work!,appreciation,"Thank you, that means the world to me!"
